date,nima_toman_close
2018-11,8839.375
2018-12,8873.741935483871
2019-01,8585.76923076923
2019-02,9181.59090909091
2019-03,9205.588235294117
2019-04,9261.333333333334
2019-05,10487.56
2019-06,11164.59090909091
2019-07,11531.296296296296
2019-08,11275.04347826087
2019-09,10881.5
2019-10,10727.826086956522
2019-11,10744.72
2019-12,11313.925925925925
2020-01,11920.166666666666
2020-02,12880.083333333334
2020-03,13663.9375
2020-04,13871.454545454546
2020-05,14705.565217391304
2020-06,16035.217391304348
2020-07,17819.653846153848
2020-08,19235.25
2020-09,22289.95
2020-10,25600.863636363636
2020-11,25742.82608695652
2020-12,25589.08
2021-01,24261.2
2021-02,23640.31818181818
2021-03,22970.63157894737
2021-04,22862.4
2021-05,20710.08695652174
2021-06,20678.583333333332
2021-07,22084.42105263158
2021-08,22613.9
2021-09,22918.777777777777
2021-10,23206.363636363636
2021-11,23255.03846153846
2021-12,23995.5
2022-01,24498.44
2022-02,23854.090909090908
2022-03,23853.47619047619
2022-04,24467.0
2022-05,24586.2
2022-06,25011.347826086956
2022-07,26025.8
2022-08,26375.76
2022-09,26734.909090909092
2022-10,27042.72
2022-11,27540.0
2022-12,28466.9
2023-01,28244.0
2023-03,37595.333333333336
2023-04,37579.38461538462
2023-05,38159.1
2023-06,37346.666666666664
2023-07,37171.5
2023-09,37114.0
2023-10,37145.52173913043
2023-11,37443.833333333336
2023-12,38446.6
2024-01,39108.71428571428
2024-02,39341.11111111111
2024-03,39831.0
2024-04,40536.333333333336
2024-05,41510.09090909091
2024-06,42273.846153846156
2024-07,43315.933333333334
2024-08,44618.705882352944
2024-09,45758.0
2024-10,47769.52
2024-11,50067.86363636364
2024-12,59326.24
2025-01,65981.54166666667
2025-02,66789.95652173914
2025-03,67920.94444444444
2025-04,68493.30434782608
2025-05,68720.375
2025-06,68637.69230769231
2025-07,68985.15789473684
2025-08,69236.5
2025-09,69271.5
2025-10,69718.56521739131
2025-11,70451.5294117647
