open,low,high,close,change_value,change_percent,date_gregorian,date_jalali
"1,133,150","1,127,800","1,138,200","1,134,600",3000,0.26%,2025/11/25,1404/09/04
"1,127,350","1,125,800","1,138,200","1,137,600",8500,0.75%,2025/11/23,1404/09/02
"1,135,100","1,127,800","1,135,200","1,129,100",6100,0.54%,2025/11/22,1404/09/01
"1,134,750","1,132,800","1,141,500","1,135,200",1600,0.14%,2025/11/20,1404/08/29
"1,126,700","1,117,600","1,134,500","1,133,600",8100,0.72%,2025/11/19,1404/08/28
"1,124,900","1,122,100","1,128,500","1,125,500",550,0.05%,2025/11/18,1404/08/27
"1,123,200","1,121,600","1,126,500","1,124,950",3050,0.27%,2025/11/17,1404/08/26
"1,130,200","1,119,300","1,132,200","1,121,900",6400,0.57%,2025/11/16,1404/08/25
"1,121,000","1,120,800","1,138,200","1,128,300",3000,0.27%,2025/11/15,1404/08/24
"1,125,400","1,124,800","1,136,200","1,125,300",800,0.07%,2025/11/13,1404/08/22
"1,102,100","1,101,800","1,128,200","1,126,100",27700,2.52%,2025/11/12,1404/08/21
"1,076,400","1,076,300","1,098,700","1,098,400",21700,2.02%,2025/11/11,1404/08/20
"1,078,500","1,075,800","1,078,700","1,076,700",1900,0.18%,2025/11/10,1404/08/19
"1,077,450","1,077,300","1,079,700","1,078,600",550,0.05%,2025/11/09,1404/08/18
"1,079,200","1,075,300","1,080,200","1,078,050",350,0.03%,2025/11/08,1404/08/17
"1,078,700","1,076,300","1,079,200","1,078,400",200,0.02%,2025/11/06,1404/08/15
"1,082,100","1,077,800","1,083,200","1,078,600",3550,0.33%,2025/11/05,1404/08/14
"1,079,300","1,079,300","1,085,200","1,082,150",2450,0.23%,2025/11/04,1404/08/13
"1,087,850","1,074,800","1,088,200","1,079,700",3500,0.32%,2025/11/03,1404/08/12
"1,087,200","1,082,300","1,088,700","1,083,200",5500,0.51%,2025/11/02,1404/08/11
"1,073,800","1,073,800","1,089,200","1,088,700",15700,1.46%,2025/11/01,1404/08/10
"1,071,300","1,071,300","1,076,700","1,073,000",3900,0.36%,2025/10/30,1404/08/08
"1,069,050","1,066,800","1,074,700","1,069,100",200,0.02%,2025/10/29,1404/08/07
"1,078,550","1,069,300","1,083,200","1,069,300",10500,0.98%,2025/10/28,1404/08/06
"1,079,150","1,077,300","1,086,200","1,079,800",1400,0.13%,2025/10/27,1404/08/05
"1,068,850","1,068,800","1,087,200","1,078,400",8200,0.77%,2025/10/26,1404/08/04
"1,071,200","1,066,800","1,077,200","1,070,200",14600,1.36%,2025/10/25,1404/08/03
"1,078,450","1,078,300","1,094,200","1,084,800",9200,0.86%,2025/10/23,1404/08/01
"1,078,200","1,072,300","1,079,700","1,075,600",13300,1.24%,2025/10/22,1404/07/30
"1,063,600","1,059,800","1,091,200","1,088,900",24800,2.33%,2025/10/21,1404/07/29
"1,086,600","1,063,800","1,099,200","1,064,100",19300,1.81%,2025/10/20,1404/07/28
"1,073,050","1,072,800","1,091,200","1,083,400",18400,1.73%,2025/10/19,1404/07/27
"1,100,700","1,060,800","1,100,700","1,065,000",37500,3.52%,2025/10/18,1404/07/26
"1,098,100","1,097,800","1,114,200","1,102,500",6700,0.61%,2025/10/16,1404/07/24
"1,086,700","1,086,300","1,101,700","1,095,800",6900,0.63%,2025/10/15,1404/07/23
"1,105,800","1,085,300","1,106,200","1,088,900",23100,2.12%,2025/10/14,1404/07/22
"1,118,800","1,110,300","1,126,700","1,112,000",9400,0.85%,2025/10/13,1404/07/21
"1,123,850","1,112,800","1,128,200","1,121,400",5600,0.5%,2025/10/12,1404/07/20
"1,124,300","1,124,300","1,149,200","1,127,000",5850,0.52%,2025/10/11,1404/07/19
"1,156,150","1,129,800","1,156,200","1,132,850",24050,2.12%,2025/10/09,1404/07/17
"1,138,300","1,138,300","1,164,200","1,156,900",17200,1.51%,2025/10/08,1404/07/16
"1,110,700","1,106,800","1,141,200","1,139,700",28100,2.53%,2025/10/07,1404/07/15
"1,133,400","1,111,300","1,133,700","1,111,600",27100,2.44%,2025/10/06,1404/07/14
"1,151,300","1,138,300","1,153,700","1,138,700",15100,1.33%,2025/10/05,1404/07/13
"1,170,550","1,148,300","1,170,700","1,153,800",24800,2.15%,2025/10/04,1404/07/12
"1,158,700","1,158,300","1,180,700","1,178,600",24200,2.1%,2025/10/02,1404/07/10
"1,138,700","1,138,300","1,165,700","1,154,400",13100,1.15%,2025/10/01,1404/07/09
