date,toman_close
2011-11,1352.0
2011-12,1445.7777777777778
2012-01,1743.421052631579
2012-02,1909.1
2012-03,1890.5333333333333
2012-04,1813.75
2012-05,1682.7727272727273
2012-06,1859.388888888889
2012-07,1933.090909090909
2012-08,2137.7368421052633
2012-09,2497.190476190476
2012-10,3371.0
2012-11,2980.2380952380954
2012-12,3079.2916666666665
2013-01,3431.0
2013-02,3735.5263157894738
2013-03,3453.1111111111113
2013-04,3547.75
2013-05,3554.809523809524
2013-06,3478.6111111111113
2013-07,3241.0
2013-08,3185.35
2013-09,3112.9
2013-10,3025.9
2013-11,2996.0
2013-12,2960.7
2014-01,2958.3333333333335
2014-02,2961.608695652174
2014-03,3045.7391304347825
2014-04,3191.913043478261
2014-05,3280.75
2014-06,3204.1666666666665
2014-07,3126.6666666666665
2014-08,3123.923076923077
2014-09,3195.6923076923076
2014-10,3238.4166666666665
2014-11,3274.1304347826085
2014-12,3462.3478260869565
2015-01,3476.9166666666665
2015-02,3429.1
2015-03,3348.55
2015-04,3331.4347826086955
2015-05,3311.2727272727275
2015-06,3292.65
2015-07,3260.777777777778
2015-08,3347.809523809524
2015-09,3392.9523809523807
2015-10,3390.1
2015-11,3402.2083333333335
2015-12,3400.4375
2016-01,3387.0
2016-02,3423.3
2016-03,3450.0588235294117
2016-04,3462.2380952380954
2016-05,3450.095238095238
2016-06,3467.0526315789475
2016-07,3508.6315789473683
2016-08,3540.8333333333335
2016-09,3562.625
2016-10,3591.2380952380954
2016-11,3690.8947368421054
2016-12,3946.95
2017-01,3880.681818181818
2017-02,3807.35
2017-03,3757.470588235294
2017-04,3758.5625
2017-05,3750.782608695652
2017-06,3742.2
2017-07,3788.3478260869565
2017-08,3831.818181818182
2017-09,3898.8947368421054
2017-10,4014.8636363636365
2017-11,4102.555555555556
2017-12,4205.428571428572
2018-01,4481.208333333333
2018-02,4616.722222222223
2018-03,4860.761904761905
2018-04,5359.857142857143
2018-05,6344.384615384615
2018-06,7352.5
2018-07,8755.153846153846
2018-08,10478.25
2018-09,14802.727272727272
2018-10,12959.08
2018-11,12150.238095238095
2018-12,10599.153846153846
2019-01,11298.703703703704
2019-02,12408.952380952382
2019-03,12971.57142857143
2019-04,13786.681818181818
2019-05,14563.75
2019-06,13259.285714285714
2019-07,12414.384615384615
2019-08,11620.318181818182
2019-09,11472.958333333334
2019-10,11365.291666666666
2019-11,11918.291666666666
2019-12,13057.518518518518
2020-01,13486.4
2020-02,14402.458333333334
2020-03,15266.52380952381
2020-04,15959.416666666666
2020-05,16983.458333333332
2020-06,18799.17391304348
2020-07,22662.833333333332
2020-08,22981.25
2020-09,26709.423076923078
2020-10,29466.909090909092
2020-11,26286.125
2020-12,25845.8
2021-01,24171.6
2021-02,24950.31818181818
2021-03,24947.35
2021-04,24329.666666666668
2021-05,22610.333333333332
2021-06,24226.916666666668
2021-07,24936.739130434784
2021-08,26794.791666666668
2021-09,27552.88
2021-10,27533.272727272728
2021-11,28412.73076923077
2021-12,29674.4
2022-01,27859.08
2022-02,26343.95238095238
2022-03,26241.04761904762
2022-04,27814.91304347826
2022-05,29387.5
2022-06,31720.105263157893
2022-07,31797.21052631579
2022-08,30161.52380952381
2022-09,31127.454545454544
2022-10,32898.692307692305
2022-11,35503.32
2022-12,38779.375
2023-01,42371.04347826087
2023-02,49297.64705882353
2023-03,49754.64705882353
2023-04,51827.5
2023-05,52320.730769230766
2023-06,49276.318181818184
2023-07,49304.153846153844
2023-08,49239.653846153844
2023-09,49577.333333333336
2023-10,51125.96
2023-11,50863.56
2023-12,50389.96153846154
2024-01,53691.92307692308
2024-02,56517.8
2024-03,60450.42857142857
2024-04,62723.916666666664
2024-05,60731.6
2024-06,60596.045454545456
2024-07,58810.0
2024-08,59537.0
2024-09,59830.90909090909
2024-10,64643.07692307692
2024-11,69015.96153846153
2024-12,75947.11538461539
2025-01,81608.54166666667
2025-02,89793.04347826086
2025-03,94656.25
2025-04,88919.34782608696
2025-05,83072.11538461539
2025-06,84388.57142857143
2025-07,88648.91304347826
2025-08,94809.16666666667
2025-09,103542.08333333333
2025-10,110445.19230769231
2025-11,110688.80952380953
