sub0,sub1,sub2,sub3,sub4,sub5,sub6,sub7,Indicator,Source,Time,Value,Unit,Details
GDP,GDP,nominal,current price,,World Bank,,$,GDP nominal current price ,World Bank,2019,333.52,Billion US$,
GDP,GDP,nominal,current price,,World Bank,,$,GDP nominal current price ,World Bank,2020,262.19,Billion US$,
GDP,GDP,nominal,current price,,World Bank,,$,GDP nominal current price ,World Bank,2021,383.44,Billion US$,
GDP,GDP,nominal,current price,,World Bank,,$,GDP nominal current price ,World Bank,2022,394.36,Billion US$,
GDP,GDP,nominal,current price,,World Bank,,$,GDP nominal current price ,World Bank,2023,404.63,Billion US$,
GDP,GDP,nominal,current price,,World Bank,,$,GDP nominal current price ,World Bank,2024,436.91,Billion US$,
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1960,50.35,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1961,55.58,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1962,59.98,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1963,64.20,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1964,69.64,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1965,81.51,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1966,90.88,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1967,101.11,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1968,115.67,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1969,133.62,Billion 2015 US$ ,Base Year 2015
